slide_id,fold,top_m,anchor_rank,anchor_score,coord_x,coord_y
2460239-B2,0,3,1,0.16381341218948364,41904.0,40801.0
2460239-B2,0,3,2,0.07978372275829315,134468.0,47777.0
2460239-B2,0,3,3,0.07490711659193039,130372.0,43681.0
2460239-B2,0,5,1,0.16381341218948364,41904.0,40801.0
2460239-B2,0,5,2,0.07978372275829315,134468.0,47777.0
2460239-B2,0,5,3,0.07490711659193039,130372.0,43681.0
2460239-B2,0,5,4,0.058632075786590576,126276.0,47777.0
2460239-B2,0,5,5,0.05318881571292877,62384.0,48993.0
2460239-B2,0,10,1,0.16381341218948364,41904.0,40801.0
2460239-B2,0,10,2,0.07978372275829315,134468.0,47777.0
2460239-B2,0,10,3,0.07490711659193039,130372.0,43681.0
2460239-B2,0,10,4,0.058632075786590576,126276.0,47777.0
2460239-B2,0,10,5,0.05318881571292877,62384.0,48993.0
2460239-B2,0,10,6,0.0402977429330349,138564.0,43681.0
2460239-B2,0,10,7,0.03746486455202103,109892.0,31393.0
2460239-B2,0,10,8,0.028252964839339256,41904.0,44897.0
2460239-B2,0,10,9,0.025764014571905136,149110.0,5392.0
2460239-B2,0,10,10,0.025215595960617065,54192.0,44897.0
2460628-B2,0,3,1,0.06342955678701401,16928.0,28417.0
2460628-B2,0,3,2,0.059707872569561005,21024.0,44801.0
2460628-B2,0,3,3,0.05152256786823273,12832.0,24321.0
2460628-B2,0,5,1,0.06342955678701401,16928.0,28417.0
2460628-B2,0,5,2,0.059707872569561005,21024.0,44801.0
2460628-B2,0,5,3,0.05152256786823273,12832.0,24321.0
2460628-B2,0,5,4,0.04010312259197235,12832.0,28417.0
2460628-B2,0,5,5,0.03889016807079315,25120.0,36609.0
2460628-B2,0,10,1,0.06342955678701401,16928.0,28417.0
2460628-B2,0,10,2,0.059707872569561005,21024.0,44801.0
2460628-B2,0,10,3,0.05152256786823273,12832.0,24321.0
2460628-B2,0,10,4,0.04010312259197235,12832.0,28417.0
2460628-B2,0,10,5,0.03889016807079315,25120.0,36609.0
2460628-B2,0,10,6,0.03444625809788704,16928.0,12033.0
2460628-B2,0,10,7,0.02972327545285225,123523.0,34196.0
2460628-B2,0,10,8,0.029198329895734787,33312.0,40705.0
2460628-B2,0,10,9,0.027550604194402695,12832.0,40705.0
2460628-B2,0,10,10,0.025696244090795517,16928.0,48897.0
2460641-B2,0,3,1,0.02339326962828636,44624.0,74834.0
2460641-B2,0,3,2,0.018292156979441643,44624.0,66642.0
2460641-B2,0,3,3,0.017663508653640747,32336.0,50258.0
2460641-B2,0,5,1,0.02339326962828636,44624.0,74834.0
2460641-B2,0,5,2,0.018292156979441643,44624.0,66642.0
2460641-B2,0,5,3,0.017663508653640747,32336.0,50258.0
2460641-B2,0,5,4,0.017090070992708206,95942.0,37762.0
2460641-B2,0,5,5,0.016661640256643295,100038.0,62338.0
2460641-B2,0,10,1,0.02339326962828636,44624.0,74834.0
2460641-B2,0,10,2,0.018292156979441643,44624.0,66642.0
2460641-B2,0,10,3,0.017663508653640747,32336.0,50258.0
2460641-B2,0,10,4,0.017090070992708206,95942.0,37762.0
2460641-B2,0,10,5,0.016661640256643295,100038.0,62338.0
2460641-B2,0,10,6,0.014872143045067787,104134.0,54146.0
2460641-B2,0,10,7,0.014830579981207848,36432.0,58450.0
2460641-B2,0,10,8,0.014719565398991108,112326.0,74626.0
2460641-B2,0,10,9,0.014631718397140503,112326.0,66434.0
2460641-B2,0,10,10,0.013281207531690598,32336.0,29778.0
2460960-B,0,3,1,0.06725205481052399,45168.0,50737.0
2460960-B,0,3,2,0.062097564339637756,41072.0,50737.0
2460960-B,0,3,3,0.04145229607820511,96598.0,39840.0
2460960-B,0,5,1,0.06725205481052399,45168.0,50737.0
2460960-B,0,5,2,0.062097564339637756,41072.0,50737.0
2460960-B,0,5,3,0.04145229607820511,96598.0,39840.0
2460960-B,0,5,4,0.040800999850034714,32880.0,38449.0
2460960-B,0,5,5,0.025684725493192673,41072.0,54833.0
2460960-B,0,10,1,0.06725205481052399,45168.0,50737.0
2460960-B,0,10,2,0.062097564339637756,41072.0,50737.0
2460960-B,0,10,3,0.04145229607820511,96598.0,39840.0
2460960-B,0,10,4,0.040800999850034714,32880.0,38449.0
2460960-B,0,10,5,0.025684725493192673,41072.0,54833.0
2460960-B,0,10,6,0.023549694567918777,108886.0,43936.0
2460960-B,0,10,7,0.021224819123744965,36976.0,42545.0
2460960-B,0,10,8,0.01931716874241829,28784.0,34353.0
2460960-B,0,10,9,0.019079366698861122,100694.0,39840.0
2460960-B,0,10,10,0.01842299848794937,108886.0,27552.0
2461671-B2,0,3,1,0.06023619696497917,24160.0,68176.0
2461671-B2,0,3,2,0.037431150674819946,40544.0,51792.0
2461671-B2,0,3,3,0.034487299621105194,20064.0,55888.0
2461671-B2,0,5,1,0.06023619696497917,24160.0,68176.0
2461671-B2,0,5,2,0.037431150674819946,40544.0,51792.0
2461671-B2,0,5,3,0.034487299621105194,20064.0,55888.0
2461671-B2,0,5,4,0.027507510036230087,92723.0,53089.0
2461671-B2,0,5,5,0.025678414851427078,125491.0,53089.0
2461671-B2,0,10,1,0.06023619696497917,24160.0,68176.0
2461671-B2,0,10,2,0.037431150674819946,40544.0,51792.0
2461671-B2,0,10,3,0.034487299621105194,20064.0,55888.0
2461671-B2,0,10,4,0.027507510036230087,92723.0,53089.0
2461671-B2,0,10,5,0.025678414851427078,125491.0,53089.0
2461671-B2,0,10,6,0.021297425031661987,20064.0,64080.0
2461671-B2,0,10,7,0.020265623927116394,117299.0,57185.0
2461671-B2,0,10,8,0.01905151456594467,100915.0,65377.0
2461671-B2,0,10,9,0.015408840961754322,44640.0,55888.0
2461671-B2,0,10,10,0.014954008162021637,36448.0,43600.0
2461677-B2,0,3,1,0.18847355246543884,66786.0,14689.0
2461677-B2,0,3,2,0.1267162561416626,123110.0,14961.0
2461677-B2,0,3,3,0.06744475662708282,70882.0,18785.0
2461677-B2,0,5,1,0.18847355246543884,66786.0,14689.0
2461677-B2,0,5,2,0.1267162561416626,123110.0,14961.0
2461677-B2,0,5,3,0.06744475662708282,70882.0,18785.0
2461677-B2,0,5,4,0.06384892761707306,127206.0,14961.0
2461677-B2,0,5,5,0.048099882900714874,73892.0,38583.0
2461677-B2,0,10,1,0.18847355246543884,66786.0,14689.0
2461677-B2,0,10,2,0.1267162561416626,123110.0,14961.0
2461677-B2,0,10,3,0.06744475662708282,70882.0,18785.0
2461677-B2,0,10,4,0.06384892761707306,127206.0,14961.0
2461677-B2,0,10,5,0.048099882900714874,73892.0,38583.0
2461677-B2,0,10,6,0.04515865445137024,54498.0,14689.0
2461677-B2,0,10,7,0.043717384338378906,66786.0,18785.0
2461677-B2,0,10,8,0.041686199605464935,54498.0,18785.0
2461677-B2,0,10,9,0.028268102556467056,79074.0,18785.0
2461677-B2,0,10,10,0.026774927973747253,127206.0,19057.0
2461700-B2,0,3,1,0.15443752706050873,91431.0,33282.0
2461700-B2,0,3,2,0.12018907070159912,87335.0,25090.0
2461700-B2,0,3,3,0.08889912813901901,91431.0,25090.0
