slide_id,fold,top_m,sigma,high_prior_mean,high_prior_std,high_prior_max,high_prior_p90,high_prior_effective_ratio_0.1,high_prior_effective_ratio_0.3,high_prior_effective_ratio_0.5
2460239-B2,0,3,1024.0,0.004713098464956557,0.041608912155481785,1.0,5.045309856836495e-08,0.011959876543209876,0.004243827160493827,0.0019290123456790122
2460239-B2,0,3,2048.0,0.01875001429435122,0.08336058414846097,1.0,0.012186075151729415,0.05246913580246913,0.021604938271604937,0.008101851851851851
2460239-B2,0,3,4096.0,0.06921879222678419,0.1660244285130321,1.0,0.2701105751890406,0.1728395061728395,0.09066358024691358,0.046296296296296294
2460239-B2,0,3,8192.0,0.2146961223067411,0.2696134704297795,1.0,0.6766338287490375,0.46566358024691357,0.28703703703703703,0.18094135802469136
2460239-B2,0,5,1024.0,0.006367793876051953,0.04467891644974605,1.0,6.606444147686277e-05,0.01890432098765432,0.005015432098765432,0.0019290123456790122
2460239-B2,0,5,2048.0,0.025334814961407236,0.08964557097307947,1.0,0.045504896135859126,0.0775462962962963,0.025848765432098766,0.008101851851851851
2460239-B2,0,5,4096.0,0.09391869215971735,0.1851470887522391,1.0,0.32511830939815695,0.24074074074074073,0.11149691358024691,0.06018518518518518
2460239-B2,0,5,8192.0,0.25059665048504687,0.2668962566948398,1.0,0.6933635405388847,0.5817901234567902,0.33912037037037035,0.19868827160493827
2460239-B2,0,10,1024.0,0.008453590756694458,0.046825470008589304,1.0,0.0027326308718740562,0.02546296296296296,0.005015432098765432,0.0019290123456790122
2460239-B2,0,10,2048.0,0.03193782851896884,0.09371717065385565,1.0,0.1004974179553541,0.10108024691358025,0.027777777777777776,0.008101851851851851
2460239-B2,0,10,4096.0,0.10725992350068012,0.18611828379588152,1.0,0.34807598178488774,0.2966820987654321,0.11921296296296297,0.06404320987654322
2460239-B2,0,10,8192.0,0.2778469471927424,0.27104551588970804,1.0,0.71976658693843,0.6466049382716049,0.37191358024691357,0.22067901234567902
2460628-B2,0,3,1024.0,0.006482517076775542,0.05437865374428261,1.0,3.364177585371592e-08,0.01461769115442279,0.008620689655172414,0.004122938530734633
2460628-B2,0,3,2048.0,0.025230543556093426,0.10943919521767315,1.0,0.013230454951829677,0.058095952023988005,0.03260869565217391,0.018740629685157422
2460628-B2,0,3,4096.0,0.06787717713054663,0.1677670011078201,1.0,0.2533952840067839,0.16754122938530736,0.08733133433283358,0.04572713643178411
2460628-B2,0,3,8192.0,0.16973570360669163,0.26455714218015874,1.0,0.6218795965837424,0.348575712143928,0.239880059970015,0.14955022488755623
2460628-B2,0,5,1024.0,0.009413386412136992,0.06222325196852581,1.0,2.7829871757281153e-05,0.022863568215892055,0.013118440779610194,0.004872563718140929
2460628-B2,0,5,2048.0,0.03315183975462633,0.1235373532843725,1.0,0.04653812483643756,0.08133433283358321,0.03935532233883059,0.022113943028485756
2460628-B2,0,5,4096.0,0.07104885810490091,0.1650339883036415,1.0,0.2953218803555014,0.18515742128935533,0.09745127436281859,0.035982008995502246
2460628-B2,0,5,8192.0,0.17313623576790077,0.26791779714295827,1.0,0.6403252483994382,0.36094452773613195,0.23650674662668666,0.15142428785607195
2460628-B2,0,10,1024.0,0.013807371233517088,0.0697144885789396,1.0,0.0036583548067197188,0.03673163418290855,0.016116941529235384,0.005247376311844078
2460628-B2,0,10,2048.0,0.04691669220201803,0.13259364090558962,1.0,0.15073725215584982,0.12968515742128936,0.05434782608695652,0.022863568215892055
2460628-B2,0,10,4096.0,0.09859342317402366,0.17980406678161773,1.0,0.3519071771551533,0.27361319340329837,0.13193403298350825,0.04872563718140929
2460628-B2,0,10,8192.0,0.22048315546159156,0.297226815735409,1.0,0.7390487578663372,0.42916041979010494,0.29685157421289354,0.20389805097451275
2460641-B2,0,3,1024.0,0.0045397377474433705,0.04395250381782539,1.0,9.775458002926529e-10,0.011107946454001708,0.005411563657077755,0.0019937339789233835
2460641-B2,0,3,2048.0,0.018016064140257238,0.08700546698443345,1.0,0.004648372575897891,0.04500142409569923,0.02079179720877243,0.011107946454001708
2460641-B2,0,3,4096.0,0.05840282511885459,0.16230550469668684,1.0,0.20871860795342884,0.1352890914269439,0.07775562517801196,0.04243805183708345
2460641-B2,0,3,8192.0,0.1231352939338753,0.23127598554303305,1.0,0.4845634882682842,0.2640273426374252,0.17687268584448876,0.09114212475078325
2460641-B2,0,5,1024.0,0.006627525719356794,0.051159195152845435,1.0,2.722525251408839e-06,0.015380233551694674,0.007690116775847337,0.0022785531187695814
2460641-B2,0,5,2048.0,0.026460882559486327,0.1012972402768182,1.0,0.03208993065902886,0.06579322130447166,0.03076046710338935,0.015380233551694674
2460641-B2,0,5,4096.0,0.08729931943609782,0.1774407745630819,1.0,0.32780028030450276,0.22073483338080319,0.1093705497009399,0.05240672173170037
2460641-B2,0,5,8192.0,0.1973519504766182,0.22325950240574965,1.0,0.48452717974072557,0.5086869837653091,0.2671603531757334,0.09114212475078325
2460641-B2,0,10,1024.0,0.011309171549558263,0.06291298665440152,1.0,0.0011756007673992298,0.026203360865850185,0.013671318712617488,0.003417829678154372
2460641-B2,0,10,2048.0,0.04612690839667417,0.12189646068799892,1.0,0.16261650709796227,0.12759897465109654,0.05639418968954714,0.021361435488464826
