metric_name,count,mean,std,median,min,max
full_margin,194,8.350100369029438,5.169187750615747,9.59458875656128,-8.994942665100098,15.68238639831543
concept_margin,194,0.9875465041967397,0.6896365743909437,1.1464077830314636,-1.3311728239059448,2.0854055881500244
visual_margin,194,7.362834599368351,4.521480705338273,8.397072315216064,-7.6703386306762695,13.760955810546875
csg_margin,194,3.318583335338602e-05,0.0007539716939025449,0.0002406346902716905,-0.0017741560004651546,0.0017802459187805653
full_top1_margin,194,9.004075445618826,3.920625402099209,9.59458875656128,0.008744001388549805,15.68238639831543
concept_top1_margin,194,1.0944289952593367,0.5030624981297213,1.1536847949028015,0.010913491249084473,2.0854055881500244
visual_top1_margin,194,7.942553900412677,3.401611183754157,8.397072315216064,0.018779128789901733,13.760955810546875
csg_top1_margin,194,0.0006603687428857305,0.00036535973801330595,0.0006852390943095088,5.538749974220991e-07,0.0017802459187805653
visual_contribution_ratio,194,0.7195798650806405,0.17083058897273512,0.6984580159187317,0.05351630970835686,0.9981834292411804
concept_contribution_ratio,194,0.28042013544382854,0.1708305884610708,0.3015419989824295,0.0018165772780776024,0.9464836716651917
csg_contribution_ratio,194,4.0358020536567654e-05,4.3336087921130025e-05,3.182368709531147e-05,1.1422574175412592e-07,0.00039940173155628145
