model_name,source_dir,AUC,ACC,F1,Balanced_ACC,PR_AUC,delta_vs_stage57C_auc,delta_vs_stage57C_acc,delta_vs_stage57C_f1,delta_vs_stage57C_bacc,delta_vs_stage57C_pr_auc,visual_ratio_mean,concept_ratio_mean,csg_ratio_mean
stage57C_rce_v2_baseline,results_stage57C_rce_v2_copy_reproduction/rce_v2_copy_csg_a01_rq16_5fold_e20_s1,0.970213,0.922509,0.914456,0.917143,0.944399,0.0,0.0,0.0,0.0,0.0,,,
stage58C_configD_residual_constrained,results_stage58C_residual_constrained_configD_5fold/rce_v2_rcD_l003_t050_aux020_5fold_e20_s1,0.964842,0.927691,0.919625,0.9197,0.931551,-0.005371,0.005181,0.005168,0.002558,-0.012848,0.320575,0.679425,0.002286
