fold,visual_ratio_mean,visual_ratio_median,visual_ratio_gt_0_5_percent,concept_ratio_mean,concept_ratio_median,csg_ratio_mean,full_margin_mean,concept_margin_mean,visual_margin_mean,csg_margin_mean
0,0.3191853921293981,0.3220272809267044,0.08762886597938144,0.6808146109286043,0.6779727339744568,0.0007570658856366,7.544038308649948,3.632551431041403,3.91033381492514,0.0036154686960574
1,0.2683872654734026,0.2415934279561042,0.07216494845360824,0.7316127378762383,0.7584066092967987,0.0003901801346207,6.917656960253863,4.13731633357166,2.78188281164495,0.0015918334109526
2,0.3067776635313195,0.2561552375555038,0.14432989690721648,0.6932223411180924,0.7438447773456573,0.0081453322787806,6.459258748083999,3.795615387485199,2.66539711036633,0.0512048155465403
3,0.3395122173073378,0.3012101352214813,0.22279792746113988,0.6604877812643125,0.6987898349761963,0.0009166744872455,6.030816760087878,3.394638575960935,2.635771598338772,-0.0011764221463999
4,0.3690103329235562,0.2496149986982345,0.25906735751295334,0.6309896703360728,0.7503849864006042,0.0012201242267025,6.00341718493348,3.405936863138268,2.594743912199927,0.001988277681307
