exp_id,experiment,train_dir,status,test_auc_mean,test_auc_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,val_auc_mean,val_auc_std,balanced_acc_mean,balanced_acc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,pr_auc_mean,pr_auc_std
baseline_peps,Baseline PEPS topk=5 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.07_s1,ok,0.9683268962987496,0.0064888472653998,0.9390470594519524,0.0075947901490142,0.9321793068729096,0.0077404916904356,0.9729994068780116,0.0076200671548897,0.9312747008960208,0.0054453425671602,0.906422433288105,0.0290510735084434,0.9561269685039372,0.0244522243149278,0.9458663859196496,0.0141147693539249
l2h_lambda010,L2H-SDA-PEPS lambda=0.10,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_l2h_sda_peps_topk5_tau0.07_k5_s8192_l0.10_s1,ok,0.955674192009708,0.0265353667957598,0.9018748998450938,0.0499810991906801,0.8872413498799814,0.0614280525247159,0.9578372941017,0.0159573719511108,0.88178857858168,0.0652286939785728,0.8184984170058798,0.1159964037504431,0.9450787401574804,0.0267539449468488,0.908406404632742,0.0631676969276118
l2h_lambda005,L2H-SDA-PEPS lambda=0.05,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_l2h_sda_peps_topk5_tau0.07_k5_s8192_l0.05_s1,ok,0.9554190866756056,0.0248242711616336,0.9163025479408152,0.0278126156983957,0.9066092131458154,0.0320713951875961,0.9673877197094342,0.015189304506799,0.9066291384434308,0.0351607885122213,0.8760289461781999,0.0618064626196782,0.9372293307086614,0.0198339822331983,0.9212016368409046,0.0461901894035709
delta_l005_minus_base,lambda=0.05 - baseline,,delta,-0.012907809623143973,0.0183354238962338,-0.02274451151113721,0.0202178255493815,-0.02557009372709418,0.0243309034971605,-0.005611687168577406,0.007569237351909299,-0.024645562452589975,0.0297154459450611,-0.030393487109905082,0.032755389111234795,-0.018897637795275757,-0.0046182420817295,-0.02466474907874494,0.032075420049645996
delta_l010_minus_base,lambda=0.10 - baseline,,delta,-0.012652704289041528,0.020046519530359998,-0.0371721596068586,0.0423863090416659,-0.04493795699292824,0.0536875608342803,-0.01516211277631152,0.0083373047962211,-0.0494861223143408,0.0597833514114126,-0.08792401628222524,0.0869453302419997,-0.011048228346456801,0.0023017206319209983,-0.03745998128690753,0.0490529275736869
delta_l005_minus_l010,lambda=0.05 - lambda=0.10,,delta,-0.0002551053341024456,-0.0017110956341261988,0.01442764809572139,-0.022168483492284397,0.019367863265834062,-0.0293566573371198,0.009550425607734114,-0.0007680674443117999,0.02484055986175082,-0.030067905466351498,0.057530529172320155,-0.0541899411307649,-0.007849409448818956,-0.006919962713650498,0.012795232208162588,-0.016977507524040904
