comparison,current,reference,current_status,reference_status,test_auc_delta,test_acc_delta,test_f1_delta,val_auc_delta,val_acc_delta,balanced_acc_delta,sensitivity_delta,specificity_delta,pr_auc_delta
csg_a01 - csg_a005,csg_a01,csg_a005,ok,ok,0.00828503053362395,0.024790342396239673,0.029359125614452863,0.00683710396211501,0.012392500400619677,0.0339397739959828,0.06309362279511532,0.0047859251968503935,0.023067893580161147
rq16 - rq8,rq16,rq8,ok,ok,0.006215068737379537,0.012387158805619358,0.016556142208372537,0.015277238483228262,0.010357352705517964,0.025946454979041578,0.06915422885572153,-0.017261318897637712,0.00879490594680643
rq16 - rq32,rq16,rq32,ok,ok,0.012486695237128642,0.015506650285775359,0.018810340433874417,0.014279908505966943,0.02372202339618601,0.025432577293382552,0.05707824513794657,-0.006213090551181133,0.022576838379447683
RCE-v4-CSG-a01-rq16 - RCE-MIL base,RCE-v4-CSG-a01-rq16,RCE-MIL base,ok,ok,0.0069180204026396686,0.04028630949201428,0.04772505440691288,0.010306912110884303,0.03925538165696274,0.055851007355847804,0.1054274084124831,0.006274606299212726,0.01685365324037935
RCE-v4-CSG-a01-rq16 - RCE-v3-VR-a005,RCE-v4-CSG-a01-rq16,RCE-v3-VR-a005,ok,ok,0.004686601330320506,0.0010362694300519726,0.001751921123840372,0.005560090174129506,0.007243202820362171,0.0037065450084937668,0.012075983717774852,-0.004662893700787318,0.016639290129380147
RCE-v4-CSG-a01-rq16 - Concept-12 PEPS reference,RCE-v4-CSG-a01-rq16,Concept-12 PEPS reference,ok,partial,0.001885753230091436,-0.01653751866887443,-0.01772264824746439,-0.0018733402707292734,,-0.014132377838794619,-0.006241086386250427,-0.022022669291338448,-0.0014668983305554661
