group,variant,method,source_path,status,num_rows,test_auc_mean,test_auc_std,test_auc_formatted,test_acc_mean,test_acc_std,test_acc_formatted,test_f1_mean,test_f1_std,test_f1_formatted,val_auc_mean,val_auc_std,val_auc_formatted,val_acc_mean,val_acc_std,val_acc_formatted,balanced_acc_mean,balanced_acc_std,balanced_acc_formatted,sensitivity_mean,sensitivity_std,sensitivity_formatted,specificity_mean,specificity_std,specificity_formatted,pr_auc_mean,pr_auc_std,pr_auc_formatted
stage22_csg_init,csg_a005,RCE-v4-CSG-a005-rq16,results_stage22/rce_v4_csg_a005_5fold_e20_s1/fold_summary.csv,ok,5,0.9619277226964675,0.018122295099208423,0.961928 ± 0.018122,0.8977191389348859,0.018902957564144205,0.897719 ± 0.018903,0.8850972261380827,0.02232246413406621,0.885097 ± 0.022322,0.9642885557671557,0.014820594927726973,0.964289 ± 0.014821,0.9163025479408151,0.011655654050125629,0.916303 ± 0.011656,0.8832028481652225,0.028103669743980056,0.883203 ± 0.028104,0.8370872908186342,0.07676961603385087,0.837087 ± 0.076770,0.9293184055118111,0.03732447924723469,0.929318 ± 0.037324,0.9213312080892834,0.03804732106830607,0.921331 ± 0.038047
stage22_csg_init,csg_a01,RCE-v4-CSG-a01-rq16,results_stage22/rce_v4_csg_a01_5fold_e20_s1/fold_summary.csv,ok,5,0.9702127532300915,0.013016161155366076,0.970213 ± 0.013016,0.9225094813311255,0.01877882982148649,0.922509 ± 0.018779,0.9144563517525356,0.020681076044719315,0.914456 ± 0.020681,0.9711256597292707,0.013336443578881408,0.971126 ± 0.013336,0.9286950483414348,0.02804969341801697,0.928695 ± 0.028050,0.9171426221612053,0.019648286952277806,0.917143 ± 0.019648,0.9001809136137495,0.026688437373307783,0.900181 ± 0.026688,0.9341043307086615,0.020100439872186016,0.934104 ± 0.020100,0.9443991016694445,0.025167774091446136,0.944399 ± 0.025168
