config_id,status,visual_ratio_mean,visual_ratio_median,visual_ratio_gt_0_5_percent,concept_ratio_mean,concept_ratio_median,csg_ratio_mean,csg_ratio_median,full_margin_mean,concept_margin_mean,visual_margin_mean,csg_margin_mean,delta_visual_ratio_vs_step58C_fold0,delta_concept_ratio_vs_step58C_fold0,delta_csg_ratio_vs_step58C_fold0
A,completed,0.3317753984448836,0.2689907252788543,0.18556701030927836,0.6682245947766242,0.731009304523468,0.0024103535392755,0.0021304570836946,7.672448603378744,3.8711621778220247,3.801712940149393,0.0213659382836302,0.012590006315485458,-0.012590016151980077,0.0016532876536389002
B,completed,0.3035946374797483,0.2776096612215042,0.0979381443298969,0.6964053623762327,0.7223903238773346,0.0029269586917067,0.0021126718493178,7.4984887567992065,3.918958977325675,3.5770134186160933,0.0202935369632485,-0.015590754649649818,0.015590751447628448,0.0021698928060701
C,completed,0.2858828972333792,0.2912002354860306,0.04639175257731959,0.7141171036307344,0.7087997794151306,0.0029496090644958,0.0030509431380778,9.041288362950391,5.031098798992708,4.007014268029904,0.0192330472060892,-0.03330249489601894,0.03330249270213015,0.0021925431788592
D,completed,0.3399659772595563,0.3310799747705459,0.13402061855670103,0.6600340228412569,0.6689200699329376,0.0028075830639291,0.0018801307305693,8.303211008227363,4.323933923674613,3.977808138067575,0.0089099078220747,0.02078058513015818,-0.020780588087347396,0.0020505171782925
E,completed,0.3965396562917638,0.3201100975275039,0.24742268041237114,0.6034603445339448,0.6798899173736572,0.0007943640952943,0.0007065176032483,8.834770419548468,4.692556929957006,4.139305189866381,0.0004970634190519,0.07735426416236568,-0.07735426639465948,3.729820965770001e-05
F,completed,0.257509563837714,0.2120574414730072,0.13402061855670103,0.7424904353839835,0.7879426181316376,0.0059696917947263,0.00682332389988,6.974709955072894,3.637517931535072,3.335378561821795,0.0450387247982098,-0.06167582829168411,0.061675824455379225,0.0052126259090897
G,skipped,,,,,,,,,,,,,,
