model_name,source_dir,AUC,ACC,F1,Balanced_ACC,BACC,PR_AUC,visual_ratio_mean,concept_ratio_mean,csg_ratio_mean,learned_ccra_alpha_mean,low_ccra_delta_abs_mean,high_ccra_delta_abs_mean,delta_vs_stage57c_auc,delta_vs_stage57c_acc,delta_vs_stage57c_f1,delta_vs_stage57c_bacc,delta_vs_stage57c_pr_auc,delta_vs_step58c_auc,delta_vs_step58c_acc,delta_vs_step58c_f1,delta_vs_step58c_bacc,delta_vs_step58c_pr_auc,delta_vs_step59c_auc,delta_vs_step59c_acc,delta_vs_step59c_f1,delta_vs_step59c_bacc,delta_vs_step59c_pr_auc
stage57C_rce_v2_baseline,results_stage57C_rce_v2_copy_reproduction/rce_v2_copy_csg_a01_rq16_5fold_e20_s1,0.970213,0.922509,0.914456,0.917143,0.917143,0.944399,,,,,,,0.0,0.0,0.0,0.0,0.0,0.005371,-0.005181,-0.005168,-0.002558,0.012848,0.000889,5e-06,0.000659,0.003546,0.002522
stage58C_residual_constrained_configD,results_stage58C_residual_constrained_configD_5fold/rce_v2_rcD_l003_t050_aux020_5fold_e20_s1,0.964842,0.927691,0.919625,0.9197,0.9197,0.931551,,,,,,,-0.005371,0.005181,0.005168,0.002558,-0.012848,0.0,0.0,0.0,0.0,0.0,-0.004482,0.005187,0.005828,0.006104,-0.010326
stage59C_dynamic_csg_configA,results_stage59C_dynamic_csg_configA_5fold/rce_v2_rcD_dynCSG_A_5fold_e20_s1,0.969323,0.922504,0.913797,0.913596,0.913596,0.941877,,,,,,,-0.000889,-5e-06,-0.000659,-0.003546,-0.002522,0.004482,-0.005187,-0.005828,-0.006104,0.010326,0.0,0.0,0.0,0.0,0.0
stage60C_ccra_configD,results_stage60C_ccra_configD_5fold/rce_v2_rcD_ccraD_5fold_e20_s1,0.958225,0.916292,0.906171,0.903745,0.903745,0.938132,0.292764,0.707236,0.002577,0.076677,0.492044,0.68586,-0.011988,-0.006218,-0.008285,-0.013398,-0.006267,-0.006617,-0.011399,-0.013454,-0.015955,0.006581,-0.011099,-0.006212,-0.007626,-0.009852,-0.003744
