metric,test_auc,test_f1,test_acc,val_auc,balanced_acc,sensitivity,specificity,pr_auc
mean,0.9599905303030303,0.9081439393939394,0.9175257731958762,0.9438920454545454,0.9081439393939394,0.8787878787878788,0.9375,0.9340916209519309
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
