metric_name,count,mean,std,median,min,max
full_margin,194,7.544038308649948,4.514157008726884,8.993933200836182,-10.142135620117188,14.178937911987305
concept_margin,194,3.632551431041403,2.2544942118367857,4.498011350631714,-4.523295879364014,6.511789798736572
visual_margin,194,3.91033381492514,2.408246507393701,4.5037007331848145,-5.977962493896484,7.805867671966553
csg_margin,194,0.0036154686960574124,0.005535196559835389,0.0037041394971311092,-0.027263330295681953,0.01711694709956646
full_top1_margin,194,8.181801880143352,3.2168688962869965,9.03952693939209,0.2955155372619629,14.178937911987305
concept_top1_margin,194,4.029582687259949,1.4285088088287725,4.510686159133911,0.10747241973876953,6.511789798736572
visual_top1_margin,194,4.178585489616566,1.9051994883704004,4.511424779891968,0.011141836643218994,7.805867671966553
csg_top1_margin,194,0.005207152149073549,0.00407376746324374,0.004526030737906694,0.0001280914293602109,0.027263330295681953
visual_contribution_ratio,194,0.31918539212939817,0.13928349346796226,0.3220272809267044,0.008999846875667572,0.9080721139907837
concept_contribution_ratio,194,0.6808146109286043,0.13928349370967333,0.6779727339744568,0.0919279009103775,0.9910001754760742
csg_contribution_ratio,194,0.0007570658856366208,0.000685428152676735,0.0007147077121771872,5.542081908060936e-06,0.006164036691188812
