slide_id,coord_mode,scale_ratio,low_patch_count,high_patch_count,child_count_mean,child_count_std,child_count_min,child_count_max,child_count_median,child_count_p25,child_count_p75,child_count_p90,child_count_p95,child_count_nonzero_mean,empty_match_ratio
2461671-B2,top_left,1.0,328,4887,0.8871951219512195,0.3163541331122137,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.11280487804878049
2461671-B2,top_left,2.0,328,4887,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461671-B2,top_left,4.0,328,4887,0.021341463414634148,0.14451991334745526,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9786585365853658
2461671-B2,top_left,0.5,328,4887,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461671-B2,top_left,0.25,328,4887,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461671-B2,center,1.0,328,4887,0.8871951219512195,0.3163541331122137,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.11280487804878049
2461671-B2,center,2.0,328,4887,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461671-B2,center,4.0,328,4887,0.021341463414634148,0.14451991334745526,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9786585365853658
2461671-B2,center,0.5,328,4887,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461671-B2,center,0.25,328,4887,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461677-B2,top_left,1.0,60,812,0.6333333333333333,0.48189440982669873,0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.36666666666666664
2461677-B2,top_left,2.0,60,812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461677-B2,top_left,4.0,60,812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461677-B2,top_left,0.5,60,812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461677-B2,top_left,0.25,60,812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461677-B2,center,1.0,60,812,0.6333333333333333,0.48189440982669873,0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.36666666666666664
2461677-B2,center,2.0,60,812,0.05,0.21794494717703364,0,1,0.0,0.0,0.0,0.0,0.04999999999999716,1.0,0.95
2461677-B2,center,4.0,60,812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461677-B2,center,0.5,60,812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461677-B2,center,0.25,60,812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461700-B2,top_left,1.0,74,996,0.7432432432432432,0.4368440506822868,0,1,1.0,0.25,1.0,1.0,1.0,1.0,0.25675675675675674
2461700-B2,top_left,2.0,74,996,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461700-B2,top_left,4.0,74,996,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461700-B2,top_left,0.5,74,996,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461700-B2,top_left,0.25,74,996,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461700-B2,center,1.0,74,996,0.7432432432432432,0.4368440506822868,0,1,1.0,0.25,1.0,1.0,1.0,1.0,0.25675675675675674
2461700-B2,center,2.0,74,996,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461700-B2,center,4.0,74,996,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461700-B2,center,0.5,74,996,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2461700-B2,center,0.25,74,996,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462478-B2,top_left,1.0,152,2029,0.7171052631578947,0.45040571123059847,0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.28289473684210525
2462478-B2,top_left,2.0,152,2029,0.019736842105263157,0.139094569157013,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9802631578947368
2462478-B2,top_left,4.0,152,2029,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462478-B2,top_left,0.5,152,2029,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462478-B2,top_left,0.25,152,2029,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462478-B2,center,1.0,152,2029,0.7171052631578947,0.45040571123059847,0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.28289473684210525
2462478-B2,center,2.0,152,2029,0.019736842105263157,0.139094569157013,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9802631578947368
2462478-B2,center,4.0,152,2029,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462478-B2,center,0.5,152,2029,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462478-B2,center,0.25,152,2029,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462598-B,top_left,1.0,195,2744,0.7692307692307693,0.42132504423474315,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.23076923076923078
2462598-B,top_left,2.0,195,2744,0.005128205128205128,0.0714276321906878,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9948717948717949
2462598-B,top_left,4.0,195,2744,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462598-B,top_left,0.5,195,2744,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462598-B,top_left,0.25,195,2744,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2462598-B,center,1.0,195,2744,0.7692307692307693,0.42132504423474315,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.23076923076923078
2462598-B,center,2.0,195,2744,0.005128205128205128,0.0714276321906878,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9948717948717949
2462598-B,center,4.0,195,2744,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
