section,metric,value,note
inputs,merged_rows,3880,
inputs,slide_count,194,
quality,export_accuracy,0.9278350515463918,
edges,edge_count,45,
edges,high_frequency_low_distinction_edges,0,
pkl,pkl_entry_count,194,
pkl,pkl_matches_slide_count,True,
pkl,final_logits_shapes,"(2,):194",
pkl,visual_logits_shapes,"(2,):194",
pkl,has_nan,False,
pkl,has_inf,False,
quality,warning_count,0,
