fold,branch,available,num_samples,ACC,BACC,F1,AUC,PR_AUC
1,full,True,194,0.9329896907216496,0.923532196969697,0.9250898505955386,0.9695785984848484,0.9564706988034548
1,concept_only,True,194,0.9381443298969072,0.927438446969697,0.9305903398926656,0.9746685606060606,0.9618026392691276
1,full_without_visual,True,194,0.9381443298969072,0.927438446969697,0.9305903398926656,0.9746685606060606,0.9618026392691276
1,visual_only,True,194,0.922680412371134,0.915719696969697,0.9141972578505086,0.9586884469696968,0.940821000037236
1,low_only,True,194,0.8144329896907216,0.7859848484848485,0.7901442307692308,0.8918087121212122,0.858736798796951
1,high_only,True,194,0.9072164948453608,0.8819839015151515,0.8933284457478006,0.9517045454545456,0.8672660613950289
1,csg_only,True,194,0.7010309278350515,0.6560132575757576,0.6591542469405065,0.7379261363636365,0.6298090349948592
2,full,True,194,0.9072164948453608,0.9076704545454546,0.8987826086956522,0.9520596590909092,0.906993159317802
2,concept_only,True,194,0.9123711340206184,0.907907196969697,0.903440199092373,0.9545454545454546,0.9113266031212292
2,full_without_visual,True,194,0.9123711340206184,0.907907196969697,0.903440199092373,0.9545454545454546,0.9113266031212292
2,visual_only,True,194,0.8608247422680413,0.868844696969697,0.8513409961685823,0.9382102272727272,0.8876228788571952
2,low_only,True,194,0.7731958762886598,0.7620738636363636,0.754147465437788,0.8442234848484849,0.7259627891245461
2,high_only,True,194,0.8969072164948454,0.8925189393939394,0.8867880485527544,0.9412878787878788,0.9030405696014192
2,csg_only,True,194,0.8144329896907216,0.8153409090909092,0.8012295081967213,0.8868371212121212,0.7308653441677795
3,full,True,194,0.9536082474226804,0.9434128569749676,0.948139127335373,0.98907039605124,0.984050789196148
3,concept_only,True,194,0.9587628865979382,0.943824186155835,0.9533653846153848,0.9900105770360796,0.9866095906203176
3,full_without_visual,True,194,0.9587628865979382,0.943824186155835,0.9533653846153848,0.9900105770360796,0.9866095906203176
3,visual_only,True,194,0.9432989690721648,0.9320131625337876,0.9366144889654556,0.9883652603126102,0.9816365734346456
3,low_only,True,194,0.8350515463917526,0.7964508167822306,0.8087020830765439,0.9086849218474556,0.842490920041699
3,high_only,True,194,0.9381443298969072,0.9210247972734752,0.930048076923077,0.9493477494417676,0.9479178569061756
3,csg_only,True,194,0.8865979381443299,0.835820895522388,0.8619306418219461,0.8845927841109414,0.8942828545493848
4,full,True,193,0.911917098445596,0.914877117633023,0.9044359653977224,0.9675495108565976,0.9296126740115528
4,concept_only,True,193,0.9015544041450776,0.8997256024815079,0.8925043238648023,0.9675495108565976,0.9374925476305372
4,full_without_visual,True,193,0.9015544041450776,0.8997256024815079,0.8925043238648023,0.9675495108565976,0.9374925476305372
4,visual_only,True,193,0.9067357512953368,0.9145788594607492,0.8997344724082198,0.9637318062514912,0.9086079111736692
4,low_only,True,193,0.7668393782383419,0.7682534001431639,0.7527965160959782,0.8618468146027201,0.7837740860992974
4,high_only,True,193,0.8860103626943006,0.8842758291577189,0.8759350163627864,0.9591982820329276,0.8995931724253396
4,csg_only,True,193,0.7616580310880829,0.7352063946552135,0.7352063946552135,0.7822715342400381,0.6775873431682173
5,full,True,193,0.9067357512953368,0.9109401097590072,0.8991289198606272,0.964924838940587,0.91609398187897
5,concept_only,True,193,0.917098445595855,0.9224528752087808,0.9103368176538909,0.9693390598902408,0.9359545968743432
5,full_without_visual,True,193,0.917098445595855,0.9224528752087808,0.9103368176538909,0.9693390598902408,0.9359545968743432
5,visual_only,True,193,0.917098445595855,0.9224528752087808,0.9103368176538909,0.9514435695538056,0.8656299358035693
5,low_only,True,193,0.8134715025906736,0.8218802195180148,0.802748126277538,0.8884514435695539,0.8005360860040731
5,high_only,True,193,0.911917098445596,0.9075996182295396,0.9031724952043676,0.9759007396802672,0.9468040886736784
5,csg_only,True,193,0.5129533678756477,0.4443450250536865,0.4415784289583846,0.4033643521832498,0.3094663024711502
