fold,visual_ratio_mean,visual_ratio_median,visual_ratio_gt_0_5_percent,concept_ratio_mean,concept_ratio_median,csg_ratio_mean,csg_ratio_median,full_margin_mean,concept_margin_mean,visual_margin_mean,csg_margin_mean,delta_visual_ratio_vs_step58C,delta_concept_ratio_vs_step58C,delta_csg_ratio_vs_step58C
1,0.2858828972333792,0.2912002354860306,0.04639175257731959,0.7141171036307344,0.7087997794151306,0.0029496090644958,0.0030509431380778,9.041288362950391,5.031098798992708,4.007014268029904,0.0192330472060892,0.017495631759976593,-0.01749563424550382,0.0025594289298751
2,0.2423897824302968,0.2572216391563415,0.005154639175257732,0.757610220577299,0.7427783608436584,0.0005481409467643,0.0006395737582352,7.680167368392355,4.432707235370715,3.247044133809731,0.004222061659375,-0.06438788110102273,0.06438787945920654,-0.0075971913320162995
3,0.5208217346675924,0.4926656037569046,0.4639175257731959,0.4791782705650962,0.507334440946579,0.0008697091544082,0.0005898320232518,9.154025217921465,4.5517915706966345,4.604155670736254,0.0071197079096143,0.18130951736025458,-0.1813095106992163,-4.696533283730009e-05
4,0.3541616445764359,0.3318075239658355,0.16580310880829016,0.6458383509068909,0.668192446231842,0.0011555583564162,0.0009994230931624,8.06811867600278,3.855714966287267,4.211796297928212,0.0060377886287814,-0.014848688347120276,0.014848680570818118,-6.456587028629999e-05
5,0.3833975270873061,0.3229306936264038,0.24352331606217617,0.6166024768310044,0.6770692467689514,0.0047861675969267,0.0034914610441774,7.749016735683451,4.346290425933087,3.400686620971082,0.001438601293548,,,
