slide_id,fold_ids,num_folds,status,scale_ratio,n_low,n_high,n_low_sampled,n_high_sampled,nearest_dist_mean,nearest_dist_median,nearest_dist_p10,nearest_dist_p90,nearest_dist_min,nearest_dist_max,coverage_256,coverage_512,coverage_1024
2460615-B4,3,1,ok,1.0,157,2071,157,2000,1835.4397867695754,2048.0,1024.0,2896.309375740099,0.0,6228.748831025377,0.0505,0.0515,0.2625
2460615-B4,3,1,ok,2.0,157,2071,157,2000,11180.392573821597,10140.043705473981,2682.216544207901,21431.052428327122,171.5925406304132,45013.639177475976,0.003,0.0045,0.016
2460615-B4,3,1,ok,4.0,157,2071,157,2000,46723.85422241879,47092.563471745634,26336.621759323712,66873.454128199,2698.6492917754244,79786.32103311946,0.0,0.0,0.0
2460615-B4,3,1,ok,8.0,157,2071,157,2000,149545.0553104831,151156.76405026147,125361.31923710613,172584.62712965577,102078.59319171675,186985.8419453195,0.0,0.0,0.0
2460628-B2,0,1,ok,1.0,190,2668,190,2000,1813.0920490279614,1533.3116158777511,1024.0,2896.309375740099,0.0,8444.120321264969,0.057,0.058,0.2945
2460628-B2,0,1,ok,2.0,190,2668,190,2000,7913.486879346992,4148.723297594092,1856.1381952861161,20722.794341887897,543.5301279598032,40005.76848405739,0.0,0.0,0.0415
2460628-B2,0,1,ok,4.0,190,2668,190,2000,17667.23833169813,15293.6307115713,5032.706727000889,34231.18949507313,490.03775364761435,42098.79147909118,0.0,0.001,0.0045
2460628-B2,0,1,ok,8.0,190,2668,190,2000,68525.6378172783,68081.07683577604,49180.18473501642,88522.4282227892,36744.09036838441,101472.61329541089,0.0,0.0,0.0
2460641-B2,0,1,ok,1.0,242,3511,242,2000,1755.515481316444,1448.1546878700494,1024.0,2896.309375740099,0.0,7541.626482397547,0.058,0.058,0.294
2460641-B2,0,1,ok,2.0,242,3511,242,2000,11208.125129146496,9823.773115510236,2481.3552748447773,22781.200728491145,439.71354311642483,31030.984902190907,0.0,0.003,0.0115
2460641-B2,0,1,ok,4.0,242,3511,242,2000,34497.84854388511,36024.4650809382,9065.419710848351,57604.5806859142,598.511486940727,68910.90854139133,0.0,0.0,0.0015
2460641-B2,0,1,ok,8.0,242,3511,242,2000,128735.43679822811,131060.3396430663,103292.87578620884,150064.9217069934,90532.75619354576,158844.46733833698,0.0,0.0,0.0
