fold,visual_ratio_mean,visual_ratio_median,visual_ratio_gt_0_5_percent,concept_ratio_mean,concept_ratio_median,csg_ratio_mean,full_margin_mean,concept_margin_mean,visual_margin_mean,csg_margin_mean,delta_visual_ratio_vs_step58C,delta_concept_ratio_vs_step58C,delta_csg_ratio_vs_step58C
1,0.3574583895082019,0.3287425488233566,0.13402061855670103,0.6425416085139378,0.6712574064731598,0.0025228971725548,8.47748551517725,3.9831838941912063,4.492892444133759,0.0184541549827644,0.0382729973788038,-0.03827300241466647,0.0017658312869182
2,0.2309243863222871,0.2142478674650192,0.05154639175257732,0.7690756104732912,0.785752147436142,0.0005445102384403,6.518162123935738,3.97897935466668,2.539789650089962,0.0030371580124693,-0.037462879151115486,0.03746287259705294,0.00015433010381959994
3,0.2410268656352592,0.2337988913059234,0.041237113402061855,0.7589731344703546,0.7662011086940765,0.0006582495602842,7.82182672158959,4.818610232515433,3.005115192575553,0.0029854630714176,-0.06575079789606031,0.0657507933522622,-0.0074870827184963995
4,0.3100143139337435,0.2509453594684601,0.20207253886010362,0.6899856914008529,0.7490546703338623,0.0011009338080333,6.436809469381145,3.5761536679428474,2.860094041481537,0.0055078209988251,-0.029497903373594314,0.02949791013654035,0.00018425932078779985
5,0.2675397770981174,0.1916868388652801,0.10880829015544041,0.732460219355136,0.8083131313323975,0.0012072347596227,6.19530743823768,3.8847582633631217,2.309422226072593,0.0060201091317874,-0.10147055582543879,0.10147054901906327,-1.2889467079800054e-05
