metric,test_auc,test_f1,test_acc,val_auc,balanced_acc,sensitivity,specificity,pr_auc
mean,0.9769176136363636,0.9190220632081098,0.9278350515463918,0.9524147727272727,0.9159564393939394,0.8787878787878788,0.953125,0.9542764359360845
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
