metric_name,count,mean,std,median,min,max
full_margin,194,7.672448603378744,4.995961459595091,9.250442504882812,-9.60422134399414,13.893036842346191
concept_margin,194,3.8711621778220247,2.4077652849385394,4.5826122760772705,-5.532656669616699,6.910338401794434
visual_margin,194,3.801712940149393,2.7518306197107845,4.58031964302063,-5.426514148712158,7.365084648132324
csg_margin,194,0.021365938283630273,0.03205510355847834,0.01991337724030018,-0.07114876806735992,0.11046868562698364
full_top1_margin,194,8.433598792199621,3.563777474738992,9.304925918579102,0.01851797103881836,13.893036842346191
concept_top1_margin,194,4.272961006182985,1.5890357182878605,4.607648849487305,0.02697846293449402,6.910338401794434
visual_top1_margin,194,4.254451885166549,1.9812198756523671,4.597373723983765,0.08191847801208496,7.365084648132324
csg_top1_margin,194,0.029794320433830228,0.024419898705173103,0.025062020868062973,0.00010563555406406522,0.11046868562698364
visual_contribution_ratio,194,0.33177539844488363,0.1919644828577915,0.26899072527885437,0.022970285266637802,0.9864494204521179
concept_contribution_ratio,194,0.6682245947766242,0.19196448320623488,0.731009304523468,0.013550542294979095,0.9770297408103943
csg_contribution_ratio,194,0.0024103535392755804,0.0024331275802359034,0.002130457083694637,6.684022991976235e-06,0.019526280462741852
