branch,available,num_samples,logit_space,acc,balanced_acc,macro_f1,auc,pr_auc
full,True,194,post_calibration,0.9123711340206185,0.907907196969697,0.903440199092373,0.9544270833333334,0.923499660353637
concept_only,True,194,post_calibration,0.9123711340206185,0.907907196969697,0.903440199092373,0.9517045454545454,0.9245980588528692
full_without_visual,True,194,post_calibration,0.9123711340206185,0.907907196969697,0.903440199092373,0.9517045454545454,0.9245980588528692
visual_only,True,194,post_calibration,0.8814432989690721,0.8697916666666667,0.8684357953707799,0.9506392045454545,0.9127424724268932
low_only,True,194,post_calibration,0.7577319587628866,0.7026515151515151,0.7124294319866276,0.8347537878787878,0.700373544698806
high_only,True,194,post_calibration,0.9226804123711341,0.915719696969697,0.9141972578505086,0.9447206439393938,0.8995443604619064
csg_only,True,194,post_calibration,0.7680412371134021,0.703125,0.7160698604741926,0.8665956439393939,0.7665350553912127
