method,test_auc,test_acc,test_f1,val_auc,balanced_acc,sensitivity,specificity,pr_auc
PEPS low-only,0.931815 ± 0.021260,0.863656 ± 0.019080,0.849217 ± 0.016092,0.941425 ± 0.021333,0.850868 ± 0.006672,0.809905 ± 0.055197,0.891831 ± 0.056141,0.876428 ± 0.029797
PEPS high-only,0.963794 ± 0.013557,0.928695 ± 0.021813,0.920109 ± 0.024265,0.973556 ± 0.010373,0.916882 ± 0.024971,0.879285 ± 0.042336,0.954478 ± 0.022952,0.937085 ± 0.028102
PEPS dual-scale,0.968327 ± 0.006489,0.939047 ± 0.007595,0.932179 ± 0.007740,0.972999 ± 0.007620,0.931275 ± 0.005445,0.906422 ± 0.029051,0.956127 ± 0.024452,0.945866 ± 0.014115
