method,test_auc,test_acc,test_f1,val_auc,balanced_acc,sensitivity,specificity,pr_auc
BiomedCLIP static prompt baseline,0.967166 ± 0.010387,0.922531 ± 0.029854,0.916034 ± 0.029814,0.969061 ± 0.008921,0.923770 ± 0.018227,0.927499 ± 0.026045,0.920042 ± 0.056348,0.934883 ± 0.032131
Concept-12 embedding_mean,0.965884 ± 0.008652,0.933876 ± 0.016464,0.926832 ± 0.016916,0.969937 ± 0.011056,0.927344 ± 0.011114,0.906422 ± 0.029051,0.948265 ± 0.034754,0.941293 ± 0.027842
Concept-12 MLP dynamic_gate,0.965461 ± 0.013056,0.928722 ± 0.019128,0.921510 ± 0.021016,0.970106 ± 0.012834,0.925592 ± 0.021714,0.915468 ± 0.041170,0.935716 ± 0.024804,0.927728 ± 0.033763
Concept-12 PEPS topk=5 tau=0.07,0.968327 ± 0.006489,0.939047 ± 0.007595,0.932179 ± 0.007740,0.972999 ± 0.007620,0.931275 ± 0.005445,0.906422 ± 0.029051,0.956127 ± 0.024452,0.945866 ± 0.014115
Concept-12 PEPS topk=5 tau=0.1,0.969500 ± 0.008614,0.935965 ± 0.016121,0.929148 ± 0.016764,0.971365 ± 0.006076,0.929636 ± 0.010304,0.909408 ± 0.013208,0.949865 ± 0.029811,0.941762 ± 0.020707
