metric,test_auc,test_f1,test_acc,val_auc
mean,0.9233426466852933,0.8075186514470728,0.8759493670886076,0.9262890525781051
std,0.027989611305450968,0.03720839791129698,0.022855025424389594,0.03900190827061302
