config_id,fold,status,status_reason,exp_code,alpha_init,learned_alpha_final,dynamic_csg_scale,dynamic_csg_norm,dynamic_csg_clip,ACC,BACC,F1,AUC,PR_AUC,delta_acc_vs_step58C_fold0,delta_auc_vs_step58C_fold0,delta_f1_vs_step58C_fold0,delta_pr_auc_vs_step58C_fold0
A,0,completed,,rce_v2_rcD_dynCSG_A_fold0,0.0,0.04186118021607399,1.0,softmax,5.0,0.9432989690721648,0.9386837121212122,0.937077989090373,0.9792850378787878,0.9575692578645156,0.015463969072164852,0.01089003787878784,0.018688989090372976,0.012276257864515583
B,0,completed,,rce_v2_rcD_dynCSG_B_fold0,0.01,0.028973523527383804,1.0,softmax,5.0,0.9278350515463918,0.919625946969697,0.919625946969697,0.9741950757575756,0.9524494491812944,5.15463918215886e-08,0.0058000757575755735,0.001236946969697006,0.007156449181294322
C,0,completed,,rce_v2_rcD_dynCSG_C_fold0,0.05,0.07216639071702957,1.0,softmax,5.0,0.922680412371134,0.9193892045454546,0.9148001756697408,0.9723011363636364,0.9447091648091264,-0.005154587628866003,0.0039061363636363478,-0.0035888243302591993,-0.0005838351908736827
D,0,completed,,rce_v2_rcD_dynCSG_D_fold0,0.01,0.03444577008485794,2.0,softmax,5.0,0.922680412371134,0.9010416666666669,0.9114828897338404,0.9719460227272728,0.953204220999718,-0.005154587628866003,0.0035510227272728123,-0.006906110266159615,0.007911220999717972
E,0,completed,,rce_v2_rcD_dynCSG_E_fold0,0.01,0.028973523527383804,1.0,softmax,1.0,0.9278350515463918,0.919625946969697,0.919625946969697,0.9741950757575756,0.9524494491812944,5.15463918215886e-08,0.0058000757575755735,0.001236946969697006,0.007156449181294322
F,0,skipped,optional_not_scheduled_by_default,rce_v2_rcD_dynCSG_F_fold0,0.01,,1.0,l1,5.0,,,,,,,,,
G,0,skipped,optional_not_scheduled_by_default,rce_v2_rcD_dynCSG_G_fold0,0.01,,0.5,none,2.0,,,,,,,,,
