comparison,variant,reference_variant,current_status,reference_status,test_auc_delta,test_acc_delta,test_f1_delta,val_auc_delta,val_acc_delta,balanced_acc_delta,sensitivity_delta,specificity_delta,pr_auc_delta
cg_k2_a005 - skeleton,cg_k2_a005,skeleton,ok,ok,-0.008845363598970035,-0.021681534106084088,-0.024260265659182934,-0.007847667754641185,-0.01757918914587897,-0.027303869098494582,-0.04531886024423348,-0.009288877952755903,-0.012740200692518022
cg_k4_a005 - skeleton,cg_k4_a005,skeleton,ok,ok,-0.00897138324127389,-0.009299716895465049,-0.011712167809225571,-0.017115061102860873,-0.02480102558624009,-0.017160050232017943,-0.042243328810493086,0.007923228346456646,-0.006821720970137668
cg_k8_a005 - skeleton,cg_k8_a005,skeleton,ok,ok,-0.005650067041314433,-0.01241386678062073,-0.016364419321252877,-0.010744361139898295,-0.02271780353613584,-0.02406134925764858,-0.06069651741293547,0.012573818897637756,-0.004257088109662299
