metric_name,count,mean,std,median,min,max
full_margin,194,7.915288316834833,4.727485149894266,8.958976745605469,-10.593375205993652,16.323654174804688
concept_margin,194,3.4841072762135377,2.1035459465956317,3.9798446893692017,-4.540915489196777,7.668150424957275
visual_margin,194,4.429252201364827,2.7381476839024455,5.103230237960815,-6.2677202224731445,9.508853912353516
csg_margin,194,-0.006166932657937107,0.012838395856033772,-0.007921840064227581,-0.041134312748909,0.047710299491882324
full_top1_margin,194,8.55074145498964,3.4475680632896104,9.042577266693115,0.4707005023956299,16.323654174804688
concept_top1_margin,194,3.7958686462382683,1.4680906927394801,4.000462770462036,0.14504921436309814,7.668150424957275
visual_top1_margin,194,4.805294983703451,2.006207347646285,5.148627281188965,0.09480166435241699,9.508853912353516
csg_top1_margin,194,0.011593701557937972,0.008272940876690893,0.009826919995248318,4.260055720806122e-05,0.047710299491882324
visual_contribution_ratio,194,0.48579064203599065,0.2050515273083192,0.42232994735240936,0.08215070515871048,0.9881911873817444
concept_contribution_ratio,194,0.5142093604027304,0.20505152498561358,0.5776700377464294,0.011808829382061958,0.9178493022918701
csg_contribution_ratio,194,0.001041176421973812,0.0014162685292287587,0.0004892038414254785,1.3130514844306163e-06,0.011137561872601509
