,folds,test_auc,test_acc,test_f1,val_auc,balanced_acc,sensitivity,specificity,pr_auc
0,0,0.9631865530303031,0.9175257731958762,0.9088024444705606,0.9404592803030303,0.911813446969697,0.8939393939393939,0.9296875,0.9455623192224374
1,1,0.9485085227272727,0.9072164948453608,0.8966619318181819,0.9858972852274063,0.8966619318181819,0.8636363636363636,0.9296875,0.9183146808402037
2,2,0.9901280996591844,0.9587628865979382,0.9544012222352802,0.9533524218563589,0.9544012222352802,0.9402985074626866,0.968503937007874,0.9805675293117903
3,3,0.9452397995705082,0.9222797927461139,0.9139647537816874,0.9613457408732999,0.915473633977571,0.8939393939393939,0.937007874015748,0.8964833346889903
4,4,0.9594368885707469,0.917098445595855,0.9097709209911173,0.9391571969696969,0.9188141255070389,0.9242424242424242,0.9133858267716536,0.8637987483378484
