,folds,test_auc,test_acc,test_f1
0,0,0.8525094696969696,0.7268041237113403,0.7205598586764506
1,1,0.9289772727272727,0.8608247422680413,0.852146667795749
2,2,0.9638030320836761,0.9175257731958762,0.9105990783410138
3,3,0.9574087329992842,0.8652849740932642,0.859549932825795
4,4,0.9092102123598187,0.8393782383419689,0.8221938244821541
