fold,test_auc_delta_attn_bias_minus_base,test_auc_delta_attn_bias_minus_l005,test_acc_delta_attn_bias_minus_base,test_acc_delta_attn_bias_minus_l005,test_f1_delta_attn_bias_minus_base,test_f1_delta_attn_bias_minus_l005,val_auc_delta_attn_bias_minus_base,val_auc_delta_attn_bias_minus_l005,balanced_acc_delta_attn_bias_minus_base,balanced_acc_delta_attn_bias_minus_l005,sensitivity_delta_attn_bias_minus_base,sensitivity_delta_attn_bias_minus_l005,specificity_delta_attn_bias_minus_base,specificity_delta_attn_bias_minus_l005,pr_auc_delta_attn_bias_minus_base,pr_auc_delta_attn_bias_minus_l005
1,-0.008285984848484973,-0.010890151515151603,-0.015463917525773363,-0.020618556701030966,-0.016729713404905144,-0.023091300288231142,-0.019649621212121215,0.00035511363636364646,-0.015388257575757569,-0.026633522727272596,-0.015151515151515027,-0.045454545454545414,-0.015625,-0.0078125,-0.037866400863674654,-0.047608836076404426
2,-0.003373579545454586,0.01568418560606044,-0.030927835051546393,0.02577319587628879,-0.036617056915472346,0.031555557441439674,0.0007051357386296253,-0.00810906099424158,-0.04912405303030287,0.037878787878787956,-0.10606060606060608,0.0757575757575758,0.0078125,0.0,-0.012375897063787389,0.023672719947011478
4,-0.019506084466714424,0.02773801002147458,-0.025906735751295207,0.015544041450777368,-0.029374056675460225,0.016162251668426775,-0.005249343832020914,-0.0011930326890955412,-0.03060128847530419,0.011811023622047223,-0.045454545454545414,0.0,-0.015748031496062742,0.023622047244094446,-0.01635766259247662,0.07048036127539536
