exp_id,experiment,train_dir,status,test_auc_mean,test_auc_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,val_auc_mean,val_auc_std,balanced_acc_mean,balanced_acc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,pr_auc_mean,pr_auc_std
baseline_peps,Baseline PEPS topk=5 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.07_s1,partial_3folds,0.9669181977252843,0.007971363261048504,0.9346010718800635,0.00227883708838135,0.9279005994981739,0.0018173895107538318,0.9712871698682678,0.003951615149785542,0.9321220323311858,0.004547191922402854,0.9242424242424243,0.024742320634173542,0.9400016404199475,0.015920210091938312,0.9406514640865171,0.009610259382519241
l2h_lambda005,Stage 8.1-A L2H-SDA-PEPS lambda=0.05,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_l2h_sda_peps_topk5_tau0.07_k5_s8192_l0.05_s1,partial_3folds,0.9456856334009386,0.026621058320993027,0.9036020155618467,0.02576463160288433,0.892118154225683,0.030465223553550132,0.9662048867820882,0.015057766940409882,0.8927320697128768,0.03752729807290928,0.8585858585858586,0.07456981343552226,0.9268782808398951,0.003972835835898762,0.9029367288645368,0.04763886276836173
l2h_attn_bias_b005,Stage 8.2 L2H-SDA Attention-Bias beta=0.05,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_l2h_sda_attnbias_topk5_tau0.07_k5_s8192_b0.05_fold1_s1;/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_l2h_sda_attnbias_topk5_tau0.07_k5_s8192_b0.05_fold2_s1;/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_l2h_sda_attnbias_topk5_tau0.07_k5_s8192_b0.05_fold4_s1,partial_3folds,0.9565296481050664,0.010596933815200604,0.9105015757705252,0.006391972290496224,0.9003269904995616,0.007738007482797494,0.9632225600997636,0.011523457756888357,0.9004174993040643,0.011095203129914695,0.8686868686868688,0.028569970957032252,0.9321481299212598,0.009552321492974941,0.9184514772465375,0.0018317722722740936
delta_attn_bias_minus_base,attn_bias - baseline,,delta,-0.010388549620217957,0.0026255705541521,-0.02409949610953832,0.004113135202114874,-0.027573608998612387,0.005920617972043662,-0.008064609768504205,0.007571842607102815,-0.031704533027121506,0.006548011207511841,-0.05555555555555547,0.0038276503228587104,-0.007853510498687655,-0.006367888598963371,-0.02219998683997959,-0.007778487110245148
delta_attn_bias_minus_l005,attn_bias - lambda=0.05,,delta,0.010844014704127769,-0.016024124505792423,0.006899560208678435,-0.019372659312388105,0.008208836273878584,-0.022727216070752638,-0.0029823266823245653,-0.0035343091835215255,0.007685429591187565,-0.02643209494299459,0.010101010101010277,-0.045999842478490004,0.005269849081364741,0.005579485657076179,0.015514748382000731,-0.04580709049608764
