config_id,fold,status,exp_code,lambda_residual,ratio_target,concept_aux_weight,ACC,Balanced_ACC,F1,AUC,PR_AUC,delta_acc_vs_stage57C_fold0_baseline,delta_auc_vs_stage57C_fold0_baseline,delta_f1_vs_stage57C_fold0_baseline
A,0,completed,rce_v2_rc_config_A_fold0,0.01,0.6,0.1,0.9329896907216496,0.9308712121212122,0.9261601522471088,0.9723011363636364,0.9410570211702118,0.02577319587628879,-0.003432765151515249,0.027377543551456607
B,0,completed,rce_v2_rc_config_B_fold0,0.03,0.6,0.1,0.9278350515463918,0.919625946969697,0.919625946969697,0.9797585227272728,0.9578585847104836,0.020618556701030966,0.0040246212121212155,0.02084333827404483
C,0,completed,rce_v2_rc_config_C_fold0,0.05,0.6,0.2,0.9432989690721648,0.9350142045454546,0.9366144889654556,0.970407196969697,0.945615945961251,0.036082474226803996,-0.005326704545454586,0.03783188026980344
D,0,completed,rce_v2_rc_config_D_fold0,0.03,0.5,0.2,0.9278350515463918,0.912286931818182,0.9183894230769232,0.9683948863636364,0.945292696283196,0.020618556701030966,-0.007339015151515249,0.019606814381270987
E,0,completed,rce_v2_rc_config_E_fold0,0.05,0.5,0.2,0.922680412371134,0.915719696969697,0.9141972578505086,0.9737215909090908,0.9469309041435544,0.015463917525773141,-0.0020123106060607743,0.015414649154856463
