variant,test_auc,test_acc,test_f1,balanced_acc,sensitivity,specificity,pr_auc,num_correct,num_error,num_slides,manifest_test_auc,manifest_test_acc,manifest_test_f1,manifest_balanced_acc,manifest_pr_auc
skeleton,0.9757339015151515,0.9072164948453608,0.8987826086956522,0.9076704545454546,0.9090909090909091,0.90625,0.9547979037555255,176.0,18.0,194.0,0.9757339015151515,0.9072164948453608,0.8987826086956522,0.9076704545454546,0.9547979037555255
lh_l001_m0,0.9718276515151515,0.9278350515463918,0.919625946969697,0.919625946969697,0.8939393939393939,0.9453125,0.9514222173693676,180.0,14.0,194.0,0.9718276515151515,0.9278350515463918,0.919625946969697,0.919625946969697,0.9514222173693676
lh_l001_m0 - skeleton,-0.00390625,0.020618556701030966,0.02084333827404483,0.011955492424242431,-0.015151515151515138,0.0390625,-0.003375686386157928,4.0,-4.0,,,,,,
